Prefecture,Code,Region,Area.km2,J.l,J.2,J.3,J.4,J.5,UIJ.....,Jomon.Total,Yayoi.Total,Haji.Total
Aomori,2,Tohoku,9614,60,195,293,489,263,71,934,38,285
Iwate,3,Tohoku,15376,57,193,518,442,445,338,1452,88,395
Miyagi,4,Tohoku,7289,83,165,298,211,278,324,953,208,NA
Akita,5,Tohoku,11609,7,100,214,159,289,138,733,39,NA
Yamagata,6,Tohoku,9325,25,104,380,163,212,206,919,45,576
Fukushima,7,Tohoku,13871,17,44,242,360,158,641,1324,179,456
Ibaragi,8,Kanto,6087,95,121,439,292,61,311,1058,305,752
Tochigi,9,Kanto,6413,165,287,308,274,72,376,991,148,584
Gunma,10,Kanto,6336,50,118,250,134,29,617,1038,248,557
Saitama,11,Kanto,3799,291,421,1065,429,49,NA,1986,293,1785
Chiba,12,Kanto,5100,90,94,269,396,29,221,903,69,318
Tokyo,13,Kanto,2143,349,571,1210,426,69,360,1994,295,845
Kanagawa,14,Kanto,2383,173,170,436,197,12,418,1131,410,654
Niigata,15,Hokuriku,12577,41,119,761,522,154,216,1507,154,660
Toyama,16,Hokuriku,4252,3,24,128,57,35,128,364,29,76
Ishikawa,17,Hokuriku,4196,5,22,83,67,22,498,680,103,585
Fukui,18,Hokuriku,4188,3,10,54,8,3,5,69,84,10
Yamanashi,19,Chubu,4463,29,145,296,107,18,NA,359,31,NA
Nagano,20,Chubu,13954,237,796,2408,633,120,1732,3773,1245,1206
Gifu,21,Chubu,11296,111,114,291,178,112,376,807,227,NA
Shizuoka,22,Tokai,9292,201,116,394,176,69,515,1218,537,426
Aichi,23,Tokai,5105,77,93,156,141,206,208,694,450,NA
Mie,24,Kinki,5772,20,33,65,80,19,312,442,536,329
Shiga,25,Kinki,4061,4,6,6,16,6,37,60,110,166
Kyoto,26,Kinki,4612,1,9,8,13,6,11,39,129,65
Osaka,27,Kinki,1855,2,3,4,5,5,20,44,204,16
Hyogo,28,Kinki,8359,2,5,6,8,10,128,142,434,129
Nara,29,Kinki,3692,4,7,9,35,25,15,60,204,NA
Wakayama,30,Kinki,4772,2,9,20,26,17,85,163,317,125
Tottori,31,Chugoku,3491,3,3,1,7,4,20,31,86,7
Shimane,32,Chugoku,6626,5,15,19,23,38,28,69,91,105
Okayama,33,Chugoku,7083,26,15,19,31,23,16,86,237,74
Hiroshima,34,Chugoku,8449,9,6,7,28,15,16,56,290,44
Yamaguchi,35,Chugoku,6090,10,15,5,9,4,26,61,346,311
Tokushima,36,Shikoku,4144,1,1,1,7,2,NA,10,53,NA
Kagawa,37,Shikoku,1875,2,4,4,15,2,NA,23,45,NA
Ehime,38,Shikoku,5661,20,10,2,84,15,NA,106,259,NA
Kochi,39,Shikoku,7106,7,3,3,5,2,NA,17,181,NA
Fukuoka,40,Kyushu,4934,36,13,16,27,50,120,228,257,NA
Saga,41,Kyushu,2416,14,15,11,15,16,65,106,172,NA
Nagasaki,42,Kyushu,4098,17,22,24,27,40,6,227,252,NA
Kumamoto,43,Kyushu,7391,68,43,44,120,99,285,576,472,164
Oita,44,Kyushu,6326,30,8,7,32,20,NA,89,42,NA
Miyazaki,45,Kyushu,7734,23,13,24,43,9,NA,77,94,NA
Kagoshima,46,Kyushu,9151,55,119,95,155,27,87,397,588,98
,Totals,,NA,2530,4399,10893,6672,3159,8976,27996,10624,11803
