"旧国","『弘仁式』出挙稲数(束)","『延喜式』出挙稲数(束)","『和名抄』郷数","『和名抄』田積数(町・歩)","『拾芥抄』田積数(町)","慶長3年石高(石)","725年推定人口(鬼頭宏)","奈良時代推定良民人口(弘仁式)(澤田吾一)","奈良時代推定良民人口(延喜式)(澤田吾一)","800年推定人口(鬼頭宏)","900年推定人口(鬼頭宏)","1150年推定人口(鬼頭宏)","1600年推定人口(鬼頭宏)"
"畿内",NA,2087126,349,55300.90085,52383.7,1413895.1,457300,463600,463600,583600,520900,499800,2284600
"山城",NA,424070,78,8961.7029,8961,225262,85700,99600,99600,219600,185000,185000,558000
"大和",NA,554600,89,17905.9018,17005.7,448945.5,171700,330300,330300,130300,129800,123300,399400
"河内",NA,400954,80,11338.4016,10977,242105.8,87900,94200,94200,94200,82200,79600,247000
"和泉",NA,227500,24,4569.60357,4126,141512.7,26400,26700,26700,26700,33100,29900,222100
"摂津",NA,480000,78,12525.00178,11314,356069.1,85700,112800,112800,112800,90800,82000,858100
"東海道",NA,10640176,1009,213501.20237,247693,4458650.45,1108200,1256400,1256400,1256400,1592200,1795800,2832200
"伊賀",NA,317000,18,4051.10041,4055,1e+05,19800,37300,37300,37300,29400,29400,51600
"伊勢",NA,926000,94,18130.60245,19024,567105.14,103200,108800,108800,108800,131400,137900,295000
"志摩",NA,1700,14,124.00094,4917,17854.91,154000,6500,6500,6500,8100,35600,13600
"尾張",NA,472000,69,6820.7031,11930,571737.4,75800,55400,55400,55400,86600,86500,312000
"三河",NA,477000,69,6820.7031,7054,290715,75800,56000,56000,56000,49500,51100,167700
"遠江",NA,772260,96,13611.30035,12967,255160,105400,90800,90800,90800,98700,94000,133500
"駿河",NA,642534,59,9063.20165,9797,150000,64800,75500,75500,75500,65700,71000,125500
"甲斐",NA,584800,31,12249.90258,10043,227616,34000,68700,68700,68700,88800,72800,124500
"伊豆",NA,179000,21,2110.40112,2814,69832,23100,21000,21000,21000,15300,20400,42000
"相模",NA,868120,67,11236.10091,11486,194304,73600,102000,102000,102000,81500,83300,124300
"武蔵",NA,1113754,119,35574.70096,51540,667126,130700,130900,130900,130900,257900,373700,708500
"安房",NA,342000,32,4335.80059,4362,45045,35100,40200,40200,40200,31400,31600,63400
"上総",NA,1071000,76,22846.90235,22666,378892,83500,125800,125800,125800,165600,164300,181400
"下総",NA,1027000,91,26432.60234,33000,393255,99900,120600,120600,120600,191600,239300,227000
"常陸",NA,1846000,153,40092.60112,42038,530008,168000,216900,216900,216900,290700,304800,262200
"東山道",5248532,7305418,735,224392.50331,223248.5,4623098.8,807200,888400,858400,873400,1626800,1618500,2460700
"近江",90676,1207376,93,33402.50184,33450,775379,102100,141900,141900,141900,242200,242500,324400
"美濃",877000,880000,131,14823.10065,15304,540000,143900,126900,103400,115200,107500,111000,300600
